,x,y,angle
0,4.42614,0.53247,-0.28147738150829327
1,4.5544,0.52152,0.09652084857784847
2,4.68255,0.50931,0.12731634847772258
3,4.81076,0.49753,0.13377994656072553
4,4.93902,0.48632,0.14968440115449053
5,5.06732,0.47571,0.18517165896937118
6,5.19568,0.46577,0.20071331576853238
7,5.3241,0.45666,0.16281711729204243
8,5.45258,0.44845,0.1871174596144555
9,5.58111,0.44097,0.27402907520897074
10,5.70968,0.43433,0.3918632998579903
11,5.83831,0.42892,0.5341758892698504
12,5.967,0.42527,0.7410050264737342
13,6.09574,0.42402,1.095727844573843
14,6.22446,0.4261,1.6435057706505358
15,6.35299,0.4331,2.317690910884782
16,6.48093,0.44746,3.0077387926759225
17,6.60721,0.4721,3.501294418547384
18,6.73026,0.50985,3.7735086040657007
19,6.84771,0.56229,3.761466692128751
20,6.95729,0.62972,3.8090814330650664
21,7.05709,0.71091,3.9617896479428305
22,7.14522,0.80459,4.315431439157293
23,7.21964,0.90958,4.555400801968848
24,7.27739,1.02443,4.2820677783890355
25,7.31626,1.14706,3.725932133870799
26,7.33643,1.27409,2.920676607718949
27,7.33996,1.40272,2.1703619497885183
28,7.33038,1.53106,1.250591187398111
29,7.31111,1.65834,-0.21169098468655193
30,7.2863,1.78468,-1.1196635241426356
31,7.26243,1.91117,-1.1873335030033398
32,7.24352,2.0385,-1.1681650831782981
33,7.2299,2.16652,-1.062499990555124
34,7.22151,2.29499,-0.6076886764111399
35,7.21789,2.42367,-0.25366714035203175
36,7.217,2.55241,-0.24252568906057634
37,7.21725,2.68114,-0.7545914344437853
38,7.21859,2.8099,-1.4834990684662261
39,7.22332,2.93855,-1.3784506082052523
40,7.2347,3.06674,-1.020922772698325
41,7.25224,3.1943,-0.7494133318495071
42,7.27431,3.32113,0.13093012098987006
43,7.29969,3.44734,1.5972880276461103
44,7.32449,3.57365,2.954179520161823
45,7.34222,3.70119,4.022294568567091
46,7.34671,3.82968,4.390198500836565
47,7.33317,3.95766,4.419562140170419
48,7.30027,4.08198,4.093223469612902
49,7.24865,4.19979,3.8378909593648234
50,7.18078,4.30905,3.7010937586800945
51,7.0989,4.4083,3.7774901625320365
52,7.00491,4.49618,3.8344720566782113
53,6.90023,4.5709,3.725149204284306
54,6.78647,4.63101,3.451837154948788
55,6.66588,4.67586,3.0482759772186956
56,6.54074,4.7059,2.5104724217037457
57,6.41317,4.72247,2.1411888100721224
58,6.28454,4.72782,2.2485593420984404
59,6.15587,4.72355,2.089706213607457
60,6.02801,4.70921,1.6064540153184426
61,5.90147,4.68558,1.2869253833338339
62,5.77643,4.65489,1.0239797927545733
63,5.65291,4.61862,0.700237869276487
64,5.5308,4.57797,-0.24751196739276918
65,5.40964,4.53432,-1.8972945436576785
66,5.28814,4.49173,-2.7260156822805057
67,5.16417,4.4573,-2.9949074338092934
68,5.03747,4.4348,-3.017595573491664
69,4.90908,4.42564,-2.983036898232114
70,4.78046,4.43003,-2.914202875519833
71,4.65305,4.44776,-2.7775454867869653
72,4.52803,4.47835,-2.4484841355754035
73,4.40652,4.52091,-1.3184245895512763
74,4.28918,4.57365,0.17805765823768938
75,4.17427,4.63179,1.848941962176362
76,4.05905,4.68919,2.836157166341149
77,3.94041,4.73902,3.057804124610984
78,3.81737,4.7769,2.5418326675748273
79,3.6911,4.80143,1.718296831381447
80,3.56305,4.81469,0.9841048007230719
81,3.43444,4.82025,0.3649283037320798
82,3.3057,4.82139,-0.0600811109914717
83,3.17696,4.82089,0.0
84,3.04822,4.82066,179.90209662737982
85,3.04822,4.82066,-3.8022131772836498e-06
86,2.91947,4.82088,0.002228961387719643
87,2.79073,4.8211,0.0044466897888242665
88,2.66198,4.82131,0.05340719119605031
89,2.53324,4.8215,0.020027344658827127
90,2.40449,4.82145,-0.0578565183769462
91,2.27575,4.82131,0.008901000088373459
92,2.14701,4.82143,0.05340534310414298
93,2.01827,4.82151,-0.04450050463004207
94,1.88952,4.82135,-0.03782926115991304
95,1.76078,4.82139,0.0801100137995845
96,1.63204,4.8216,0.002230259933771105
97,1.50328,4.82145,-0.11349107424547474
98,1.37454,4.82129,-0.11123683060408915
99,1.24582,4.82164,0.12237597216833823
100,1.11706,4.82249,0.5919648404014687
101,0.98829,4.82279,0.7235517244733369
102,0.85963,4.82043,0.8947853147392031
103,0.73102,4.81482,2.0935391293483967
104,0.60254,4.80519,3.071966473322489
105,0.47533,4.78623,3.2346677996268234
106,0.35086,4.75376,3.525309967382637
107,0.23074,4.70744,3.9075802891178752
108,0.11731,4.64677,3.8015082099745983
109,0.0132,4.57125,3.5469174519230866
110,-0.08005,4.48258,3.2435866418207784
111,-0.16162,4.38309,3.106097815841941
112,-0.23145,4.27499,3.13919144482336
113,-0.28916,4.15999,3.222435707200672
114,-0.33396,4.03934,3.149451513335978
115,-0.36492,3.91447,2.5051881450110702
116,-0.382,3.78692,1.525336892387437
117,-0.38788,3.65831,1.7152582670715684
118,-0.38691,3.52942,1.6841283033033398
119,-0.37823,3.40084,2.6074533719201165
120,-0.36202,3.27309,3.501024969008643
121,-0.3343,3.14754,3.9081283725445157
122,-0.2915,3.02637,3.6804321887914573
123,-0.23256,2.91201,3.154805357882469
124,-0.15929,2.80587,3.122427824978476
125,-0.07488,2.70853,3.539797750792732
126,0.01953,2.62104,4.23559669171006
127,0.12386,2.54597,3.6512931183694377
128,0.23814,2.48707,2.7223670962168884
129,0.35908,2.44313,1.6616073559527387
130,0.48372,2.41084,1.0472938267361809
131,0.61002,2.38583,0.33962439435321845
132,0.73711,2.36546,-1.1937544883857856
133,0.86442,2.3466,-2.6679142070718527
134,0.99091,2.32244,-3.847879592868369
135,1.11453,2.28664,-4.327781314462906
136,1.2321,2.23466,-4.3708219137987
137,1.34058,2.16554,-4.115758808262319
138,1.43733,2.08071,-3.7513905533652907
139,1.52092,1.98292,-3.2464651745672555
140,1.59099,1.8751,-2.7829859698063895
141,1.64848,1.75994,-2.4032903783678785
142,1.69455,1.6397,-2.1957581019529964
143,1.73034,1.51615,-1.4088455118614245
144,1.75658,1.39016,0.6977729586454794
145,1.77663,1.26284,1.5352593121610987
146,1.79973,1.13631,1.1247342648971381
147,1.82957,1.01122,2.265285537208478
148,1.8644,0.887,3.6445792722540094
149,1.90882,0.76627,3.468296587772261
150,1.96812,0.65233,3.1987968188691216
151,2.04087,0.54618,3.2335890054399337
152,2.12507,0.4487,3.885273698890701
153,2.21965,0.36139,4.634251830379497
154,2.32488,0.2879,4.231523864485387
155,2.44086,0.23215,3.8333631583554566
156,2.56395,0.19401,3.7565647528373303
157,2.69066,0.17272,3.618339017416789
158,2.81917,0.16817,3.4357389479570792
159,2.94743,0.17985,3.0632882143411733
160,3.07323,0.20677,2.484988464063772
161,3.19543,0.24696,1.5617268385275627
162,3.31378,0.29762,0.12131368505967904
163,3.42923,0.35467,-1.7218797004505242
164,3.54434,0.41216,-2.901141411321067
165,3.6628,0.46268,-3.3695109313166793
166,3.78561,0.50091,-2.488992964611633
167,3.91208,0.52447,-1.7458192070042133
168,4.04028,0.53699,-1.474199057774494
169,4.16887,0.54167,0.0
170,4.29757,0.53973,-3.2319055107647965
171,4.29757,0.53973,-0.8237461038850611
