,x,y,angle
0,4.42614,0.53247,0.019438784411506857
1,4.5544,0.52152,0.24246281438400005
2,4.68255,0.50931,0.2722775939581671
3,4.81076,0.49753,0.3091619104779202
4,4.93902,0.48632,0.3603692348135893
5,5.06732,0.47571,0.3747114031449943
6,5.19568,0.46577,0.3567325502860536
7,5.3241,0.45666,0.40553656973103797
8,5.45258,0.44845,0.5635126301237007
9,5.58111,0.44097,0.7959577641171154
10,5.70968,0.43433,1.10056537851613
11,5.83831,0.42892,1.5557737896374648
12,5.967,0.42527,2.287619633739631
13,6.09574,0.42402,3.3487301626955954
14,6.22446,0.4261,4.640824328541358
15,6.35299,0.4331,5.913479635871747
16,6.48093,0.44746,6.888661041733431
17,6.60721,0.4721,7.404156044474268
18,6.73026,0.50985,7.551928613956411
19,6.84771,0.56229,7.670341755071798
20,6.95729,0.62972,8.020438094682536
21,7.05709,0.71091,8.570000599910113
22,7.14522,0.80459,8.855452889126163
23,7.21964,0.90958,8.427649601748849
24,7.27739,1.02443,7.33393987175404
25,7.31626,1.14706,5.873360520404947
26,7.33643,1.27409,4.258659209209552
27,7.33996,1.40272,2.2305361508686405
28,7.33038,1.53106,-0.14635528449100357
29,7.31111,1.65834,-1.8189712572255698
30,7.2863,1.78468,-2.331305178216252
31,7.26243,1.91117,-2.2930767274328647
32,7.24352,2.0385,-1.9505759514227712
33,7.2299,2.16652,-1.2658957530443087
34,7.22151,2.29499,-0.6788049181078322
35,7.21789,2.42367,-0.746648638008106
36,7.217,2.55241,-1.6171853452248246
37,7.21725,2.68114,-2.5498510887074923
38,7.21859,2.8099,-2.631119412129112
39,7.22332,2.93855,-2.0848830363380335
40,7.2347,3.06674,-1.1945094867103285
41,7.25224,3.1943,0.5548098099567592
42,7.27431,3.32113,3.136730696900984
43,7.29969,3.44734,5.757433115481488
44,7.32449,3.57365,7.68794779875162
45,7.34222,3.70119,8.607868433114684
46,7.34671,3.82968,8.66337750324501
47,7.33317,3.95766,8.225651016847273
48,7.30027,4.08198,7.737630982483972
49,7.24865,4.19979,7.508239954233603
50,7.18078,4.30905,7.544553248435012
51,7.0989,4.4083,7.586731307248311
52,7.00491,4.49618,7.370290193977375
53,6.90023,4.5709,6.840702756196859
54,6.78647,4.63101,6.032510575592927
55,6.66588,4.67586,5.108149663169031
56,6.54074,4.7059,4.520336346851706
57,6.41317,4.72247,4.363985913434124
58,6.28454,4.72782,4.018726419469698
59,6.15587,4.72355,3.2953898504914
60,6.02801,4.70921,2.6021497091478607
61,5.90147,4.68558,2.017948605844732
62,5.77643,4.65489,1.0886765218370311
63,5.65291,4.61862,-0.8459868531558593
64,5.5308,4.57797,-3.381594940813811
65,5.40964,4.53432,-5.170297808139824
66,5.28814,4.49173,-5.866113910526971
67,5.16417,4.4573,-6.005679269219676
68,5.03747,4.4348,-5.949373201160491
69,4.90908,4.42564,-5.796281703951681
70,4.78046,4.43003,-5.459228515510173
71,4.65305,4.44776,-4.498806656852363
72,4.52803,4.47835,-2.455559366839856
73,4.40652,4.52091,0.4439616537728479
74,4.28918,4.57365,3.3537933883357582
75,4.17427,4.63179,5.286436418221547
76,4.05905,4.68919,5.74753315579773
77,3.94041,4.73902,4.933470909481295
78,3.81737,4.7769,3.4824678062191086
79,3.6911,4.80143,2.026209533029539
80,3.56305,4.81469,0.8269592939006923
81,3.43444,4.82025,0.08159229009114585
82,3.3057,4.82139,-0.08678638201582058
83,3.17696,4.82089,-0.13351418048812602
84,3.04822,4.82066,0.0014808852409598635
85,3.04822,4.82066,0.004450318047237357
86,2.91947,4.82088,0.032264832790044794
87,2.79073,4.8211,0.065642303988908
88,2.66198,4.82131,0.017801059755885588
89,2.53324,4.8215,-0.04339073592072934
90,2.40449,4.82145,0.006675538766174358
91,2.27575,4.82131,0.035604190383875495
92,2.14701,4.82143,-0.03671559232061216
93,2.01827,4.82151,-0.020026614792823045
94,1.88952,4.82135,0.06230676945653607
95,1.76078,4.82139,-0.014465170799318736
