episodes,steps,x,y,distance,reward,yaw,steering,throttle,waypoint,total
696,0,2,0.59,0.01,1.5,0,0,0,0,1.5
696,1,2.01,0.59,0.01,1.5,0,0,0.4,1,3
696,2,2.02,0.59,0.01,1.5,0,0,0.4,1,4.5
696,3,2.05,0.6,0.02,1.5,0,0.4,0.8,1,6
696,4,2.07,0.6,0.02,1.5,0.02,0.8,0.4,1,7.5
696,5,2.08,0.6,0.02,1.5,0.03,0,0.4,1,9
696,6,2.09,0.61,0.03,1.5,0.04,0,0.4,1,10.5
696,7,2.12,0.61,0.03,1.5,0.05,-0.4,0.8,1,12
696,8,2.13,0.61,0.03,1.5,0.05,0,0.4,1,13.5
696,9,2.15,0.61,0.03,1.5,0.06,0,0.4,1,15
696,10,2.16,0.61,0.03,1.5,0.06,0,0.4,1,16.5
696,11,2.18,0.61,0.03,1.5,0.06,-0.4,0.4,1,18
696,12,2.19,0.61,0.03,1.5,0.05,-0.4,0.4,1,19.5
696,13,2.21,0.61,0.03,1.5,0.04,-0.4,0.4,1,21
696,14,2.22,0.61,0.03,1.5,0.02,-0.8,0.4,1,22.5
696,15,2.24,0.6,0.02,1.5,0,0.4,0.4,1,24
696,16,2.26,0.6,0.02,1.5,-0.01,-0.4,0.8,1,25.5
696,17,2.28,0.59,0.01,1.5,-0.03,0.4,0.4,1,27
696,18,2.29,0.59,0.01,1.5,-0.03,0.4,0.4,1,28.5
696,19,2.3,0.59,0.01,1.5,-0.03,0.4,0.4,1,30
696,20,2.32,0.59,0.01,1.5,-0.02,-0.4,0.4,1,31.5
696,21,2.33,0.59,0.01,1.5,-0.02,0.4,0.4,1,33
696,22,2.35,0.59,0.01,1.5,-0.02,0,0.4,1,34.5
696,23,2.36,0.59,0.01,1.5,-0.02,0.4,0.4,1,36
696,24,2.38,0.6,0.02,1.5,-0.01,0.4,0.4,1,37.5
696,25,2.39,0.6,0.02,1.5,0,0,0.4,1,39
696,26,2.4,0.6,0.02,1.5,0.02,0.8,0.4,1,40.5
696,27,2.42,0.61,0.03,1.5,0.03,0,0.4,1,42
696,28,2.43,0.61,0.03,1.5,0.04,0,0.4,1,43.5
696,29,2.45,0.61,0.03,1.5,0.05,-0.4,0.8,1,45
696,30,2.47,0.61,0.03,1.5,0.05,-0.8,0.4,1,46.5
696,31,2.49,0.61,0.03,1.5,0.05,0,0.4,1,48
696,32,2.52,0.61,0.03,1.5,0.02,-0.4,1.6,1,49.5
696,33,2.56,0.6,0.02,1.5,0,0.4,0.4,1,51
696,34,2.57,0.6,0.02,1.5,-0.01,-0.8,0.4,1,52.5
696,35,2.58,0.6,0.02,1.5,-0.02,0.4,0.4,1,54
696,36,2.6,0.6,0.02,1.5,-0.02,0.4,0.4,1,55.5
696,37,2.61,0.6,0.02,1.5,-0.02,0,0.4,1,57
696,38,2.63,0.6,0.02,1.5,-0.01,0.8,0.4,1,58.5
696,39,2.64,0.6,0.02,1.5,-0.01,-0.4,0.4,1,60
696,40,2.66,0.6,0.02,1.5,0,0.8,0.4,1,61.5
696,41,2.67,0.61,0.03,1.5,0.01,0,0.4,1,63
696,42,2.69,0.61,0.03,1.5,0.02,-0.4,0.8,1,64.5
696,43,2.72,0.61,0.03,1.5,0.02,-0.4,0.8,1,66
696,44,2.75,0.61,0.03,1.5,0.01,-0.4,0.8,1,67.5
696,45,2.77,0.6,0.02,1.5,0,-0.8,0.4,1,69
696,46,2.79,0.6,0.02,1.5,-0.02,0.8,0.8,1,70.5
696,47,2.81,0.6,0.02,1.5,-0.03,0.4,0.4,1,72
696,48,2.83,0.59,0.01,1.5,-0.03,-0.8,0.4,1,73.5
696,49,2.84,0.59,0.01,1.5,-0.04,0.4,0.4,1,75
696,50,2.85,0.59,0.01,1.5,-0.04,0.4,0.4,1,76.5
696,51,2.87,0.59,0.01,1.5,-0.05,-0.8,0.4,1,78
696,52,2.88,0.59,0.01,1.5,-0.05,0,0.4,1,79.5
696,53,2.89,0.59,0.01,1.5,-0.06,0,0.4,1,81
