episodes,steps,x,y,distance,reward,yaw,steering,throttle,waypoint,total
708,219,5.97,0.82,0,1.5,0.71,0,0.4,8,315
708,221,5.98,0.85,0,1.5,0.74,0,0.4,9,318
708,223,6.04,0.9,0,1.5,0.75,-0.8,0.8,9,321
708,211,5.91,0.68,0,1.5,0.4,0.8,0.4,7,303
708,212,5.92,0.69,0,1.5,0.42,0.8,0.4,8,304.5
708,213,5.93,0.72,0,1.5,0.49,0.8,0.8,8,306
708,214,5.94,0.74,0,1.5,0.55,0.4,0.4,8,307.5
708,215,5.94,0.76,0,1.5,0.59,0,0.4,8,309
708,216,5.95,0.77,0,1.5,0.62,0.4,0.4,8,310.5
708,217,5.96,0.79,0,1.5,0.67,0.8,0.8,8,312
708,218,5.96,0.81,0,1.5,0.69,0.4,0.4,8,313.5
708,190,5.58,0.48,0,1.5,-0.08,0.4,0.4,5,280
708,173,5.17,0.58,0,1.5,-0.01,-0.8,0.8,4,260.5
708,167,5.07,0.58,0,1.5,-0.02,0.8,0.4,4,251.5
708,168,5.08,0.58,0,1.5,0.01,0,0.4,4,253
708,154,4.81,0.58,0,1.5,-0.11,-0.8,0.4,3,232
708,128,4.23,0.58,0,1.5,0.01,0.8,0.8,3,193.5
708,127,4.2,0.58,0,1.5,0,0.4,0.4,3,192
708,126,4.19,0.58,0,1.5,0.01,0,0.8,3,190.5
708,117,3.97,0.58,0,1.5,0.04,0.4,0.8,2,177
708,108,3.76,0.58,0,1.5,0.04,-0.4,0.4,2,163.5
708,106,3.72,0.58,0,1.5,0.04,0,0.8,2,160.5
708,107,3.74,0.58,0,1.5,0.04,-0.8,0.4,2,162
708,82,3.31,0.58,0,1.5,-0.02,-0.4,0.4,2,124.5
708,83,3.32,0.58,0,1.5,-0.04,-0.4,0.4,2,126
708,67,3.05,0.58,0,1.5,-0.04,0.4,0.4,2,102
708,68,3.06,0.58,0,1.5,-0.02,0,0.4,2,103.5
708,55,2.88,0.58,0,1.5,-0.07,-0.8,0.4,1,84
707,281,4.78,2.01,0,1.5,-3.04,-0.4,0.8,21,385.8
707,280,4.8,2.01,0,1.5,-3.02,-0.4,0.4,21,384.3
707,279,4.82,2.01,0,1.5,-3.02,0,0.4,21,382.8
707,278,4.85,2.01,0,1.5,-3.01,-0.8,1.6,20,381.3
707,277,4.89,2.01,0,1.5,-3,0,0.4,20,379.8
707,249,5.77,1.93,0,1.5,2.36,0,1.6,18,344.3
707,255,5.63,2,0,1.5,2.52,0.4,0.4,19,353.3
707,256,5.6,2,0,1.5,2.55,0,0.8,19,354.8
707,257,5.59,2.01,0,1.5,2.57,0.4,0.4,19,356.3
707,243,5.92,1.85,0,1.5,2.09,0,0.4,17,335.3
707,214,6.16,1.3,0,1.5,1.19,-0.4,0.8,12,294.3
707,203,6.08,1.08,0,1.5,1.09,-0.8,0.8,10,277.8
707,210,6.15,1.22,0,1.5,1.12,0,0.4,11,288.3
707,211,6.15,1.24,0,1.5,1.13,0,0.4,11,289.8
707,204,6.1,1.12,0,1.5,1.09,0.4,1.6,10,279.3
707,201,6.06,1.02,0,1.5,1.06,0.4,0.4,10,274.8
707,202,6.07,1.05,0,1.5,1.09,-0.4,1.6,10,276.3
707,189,5.91,0.68,0,1.5,0.61,0.4,0.4,7,256.8
707,190,5.92,0.7,0,1.5,0.63,-0.8,0.8,8,258.3
